Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
05/10/2026 16:00,N.Y.C.,61761,36.55,2.22,-9.62
05/10/2026 16:00,NORTH,61755,24.48,-0.22,0.00
05/10/2026 16:00,NPX,61845,40.50,1.36,-14.43
05/10/2026 16:00,O H,61846,23.01,-2.74,-1.05
05/10/2026 16:00,PJM,61847,30.56,0.02,-5.83
05/10/2026 16:00,WEST,61752,22.74,-2.62,-0.65
05/10/2026 17:00,CAPITL,61757,48.86,1.55,-9.56
05/10/2026 17:00,CENTRL,61754,40.90,-0.64,-3.79
05/10/2026 17:00,DUNWOD,61760,49.44,3.43,-8.26
05/10/2026 17:00,GENESE,61753,35.82,-2.87,-0.94
05/10/2026 17:00,H Q,61844,37.22,-0.15,0.38
05/10/2026 17:00,HUD VL,61758,48.72,2.75,-8.21
05/10/2026 17:00,LONGIL,61762,51.60,3.96,-9.89
05/10/2026 17:00,MHK VL,61756,40.33,0.79,-1.79
05/10/2026 17:00,MILLWD,61759,49.20,3.13,-8.31
05/10/2026 17:00,N.Y.C.,61761,49.48,3.47,-8.26
05/10/2026 17:00,NORTH,61755,37.30,-0.45,0.00
05/10/2026 17:00,NPX,61845,48.51,2.15,-8.60
05/10/2026 17:00,O H,61846,29.70,-4.38,3.67
05/10/2026 17:00,PJM,61847,41.40,0.15,-3.50
05/10/2026 17:00,WEST,61752,30.19,-3.66,3.90
05/10/2026 18:00,CAPITL,61757,50.28,2.12,0.00
05/10/2026 18:00,CENTRL,61754,45.17,-0.72,2.27
05/10/2026 18:00,DUNWOD,61760,54.60,4.48,-1.96
05/10/2026 18:00,GENESE,61753,39.06,-3.66,5.44
05/10/2026 18:00,H Q,61844,48.02,-0.14,0.00
05/10/2026 18:00,HUD VL,61758,53.94,3.76,-2.02
05/10/2026 18:00,LONGIL,61762,55.14,5.01,-1.97
05/10/2026 18:00,MHK VL,61756,49.37,1.20,0.00
05/10/2026 18:00,MILLWD,61759,54.20,4.09,-1.95
05/10/2026 18:00,N.Y.C.,61761,54.70,4.58,-1.96
05/10/2026 18:00,NORTH,61755,47.83,-0.33,0.00
05/10/2026 18:00,NPX,61845,53.06,2.79,-2.11
05/10/2026 18:00,O H,61846,35.25,-5.78,7.13
05/10/2026 18:00,PJM,61847,45.03,0.34,3.48
05/10/2026 18:00,WEST,61752,35.63,-4.72,7.81
05/10/2026 19:00,CAPITL,61757,62.41,2.86,0.00
05/10/2026 19:00,CENTRL,61754,58.45,-0.65,0.45
05/10/2026 19:00,DUNWOD,61760,65.59,5.48,-0.56
05/10/2026 19:00,GENESE,61753,53.39,-4.29,1.87
05/10/2026 19:00,H Q,61844,59.32,-0.24,0.00
05/10/2026 19:00,HUD VL,61758,64.78,4.65,-0.58
05/10/2026 19:00,LONGIL,61762,66.21,6.08,-0.58
05/10/2026 19:00,MHK VL,61756,61.34,1.78,0.00
05/10/2026 19:00,MILLWD,61759,65.12,5.00,-0.56
05/10/2026 19:00,N.Y.C.,61761,65.66,5.54,-0.56
05/10/2026 19:00,NORTH,61755,58.96,-0.60,0.00
05/10/2026 19:00,NPX,61845,63.31,3.33,-0.43
05/10/2026 19:00,O H,61846,50.30,-7.09,2.17
05/10/2026 19:00,PJM,61847,58.91,0.36,1.00
05/10/2026 19:00,WEST,61752,51.56,-5.66,2.34
05/10/2026 20:00,CAPITL,61757,68.82,2.84,0.00
05/10/2026 20:00,CENTRL,61754,65.66,-0.72,-0.39
05/10/2026 20:00,DUNWOD,61760,71.61,5.47,-0.15
05/10/2026 20:00,GENESE,61753,60.91,-4.22,0.86
05/10/2026 20:00,H Q,61844,65.92,-0.07,0.00
05/10/2026 20:00,HUD VL,61758,70.82,4.69,-0.15
05/10/2026 20:00,LONGIL,61762,72.48,6.34,-0.16
05/10/2026 20:00,MHK VL,61756,68.21,2.05,-0.17
05/10/2026 20:00,MILLWD,61759,71.08,4.95,-0.14
05/10/2026 20:00,N.Y.C.,61761,71.68,5.54,-0.14
05/10/2026 20:00,NORTH,61755,65.99,0.00,0.00
05/10/2026 20:00,NPX,61845,69.20,3.10,-0.11
05/10/2026 20:00,O H,61846,57.70,-7.59,0.70
05/10/2026 20:00,PJM,61847,65.60,-0.13,0.26
05/10/2026 20:00,WEST,61752,58.69,-6.60,0.70
05/10/2026 21:00,CAPITL,61757,59.03,2.43,0.00
05/10/2026 21:00,CENTRL,61754,55.97,-0.62,0.01
05/10/2026 21:00,DUNWOD,61760,61.24,4.64,0.00
05/10/2026 21:00,GENESE,61753,52.91,-3.68,0.01
05/10/2026 21:00,H Q,61844,56.54,-0.06,0.00
05/10/2026 21:00,HUD VL,61758,60.56,3.96,0.00
